SamplingRate,LoadForce,RotatingSpeed,SensorLocation,FaultComponent,FaultSize,FileName
12000,0,1797,DriveEnd,Ball,0.007,118.mat
12000,1,1772,DriveEnd,Ball,0.007,119.mat
12000,2,1750,DriveEnd,Ball,0.007,120.mat
12000,3,1730,DriveEnd,Ball,0.007,121.mat
12000,0,1797,DriveEnd,InnerRace,0.007,105.mat
12000,1,1772,DriveEnd,InnerRace,0.007,106.mat
12000,2,1750,DriveEnd,InnerRace,0.007,107.mat
12000,3,1730,DriveEnd,InnerRace,0.007,108.mat
12000,0,1797,DriveEnd,OuterRace12,0.007,156.mat
12000,1,1772,DriveEnd,OuterRace12,0.007,158.mat
12000,2,1750,DriveEnd,OuterRace12,0.007,159.mat
12000,3,1730,DriveEnd,OuterRace12,0.007,160.mat
12000,0,1797,DriveEnd,OuterRace3,0.007,144.mat
12000,1,1772,DriveEnd,OuterRace3,0.007,145.mat
12000,2,1750,DriveEnd,OuterRace3,0.007,146.mat
12000,3,1730,DriveEnd,OuterRace3,0.007,147.mat
12000,0,1797,DriveEnd,OuterRace6,0.007,130.mat
12000,1,1772,DriveEnd,OuterRace6,0.007,131.mat
12000,2,1750,DriveEnd,OuterRace6,0.007,132.mat
12000,3,1730,DriveEnd,OuterRace6,0.007,133.mat
12000,0,1797,DriveEnd,Ball,0.014,185.mat
12000,1,1772,DriveEnd,Ball,0.014,186.mat
12000,2,1750,DriveEnd,Ball,0.014,187.mat
12000,3,1730,DriveEnd,Ball,0.014,188.mat
12000,0,1797,DriveEnd,InnerRace,0.014,169.mat
12000,1,1772,DriveEnd,InnerRace,0.014,170.mat
12000,2,1750,DriveEnd,InnerRace,0.014,171.mat
12000,3,1730,DriveEnd,InnerRace,0.014,172.mat
12000,0,1797,DriveEnd,OuterRace6,0.014,197.mat
12000,1,1772,DriveEnd,OuterRace6,0.014,198.mat
12000,2,1750,DriveEnd,OuterRace6,0.014,199.mat
12000,3,1730,DriveEnd,OuterRace6,0.014,200.mat
12000,0,1797,DriveEnd,Ball,0.021,222.mat
12000,1,1772,DriveEnd,Ball,0.021,223.mat
12000,2,1750,DriveEnd,Ball,0.021,224.mat
12000,3,1730,DriveEnd,Ball,0.021,225.mat
12000,0,1797,DriveEnd,InnerRace,0.021,209.mat
12000,1,1772,DriveEnd,InnerRace,0.021,210.mat
12000,2,1750,DriveEnd,InnerRace,0.021,211.mat
12000,3,1730,DriveEnd,InnerRace,0.021,212.mat
12000,0,1797,DriveEnd,OuterRace12,0.021,258.mat
12000,1,1772,DriveEnd,OuterRace12,0.021,259.mat
12000,2,1750,DriveEnd,OuterRace12,0.021,260.mat
12000,3,1730,DriveEnd,OuterRace12,0.021,261.mat
12000,0,1797,DriveEnd,OuterRace3,0.021,246.mat
12000,1,1772,DriveEnd,OuterRace3,0.021,247.mat
12000,2,1750,DriveEnd,OuterRace3,0.021,248.mat
12000,3,1730,DriveEnd,OuterRace3,0.021,249.mat
12000,0,1797,DriveEnd,OuterRace6,0.021,234.mat
12000,1,1772,DriveEnd,OuterRace6,0.021,235.mat
12000,2,1750,DriveEnd,OuterRace6,0.021,236.mat
12000,3,1730,DriveEnd,OuterRace6,0.021,237.mat
12000,0,1797,DriveEnd,Ball,0.028,3005.mat
12000,1,1772,DriveEnd,Ball,0.028,3006.mat
12000,2,1750,DriveEnd,Ball,0.028,3007.mat
12000,3,1730,DriveEnd,Ball,0.028,3008.mat
12000,0,1797,DriveEnd,InnerRace,0.028,3001.mat
12000,1,1772,DriveEnd,InnerRace,0.028,3002.mat
12000,2,1750,DriveEnd,InnerRace,0.028,3003.mat
12000,3,1730,DriveEnd,InnerRace,0.028,3004.mat
12000,0,1797,FanEnd,Ball,0.007,282.mat
12000,1,1772,FanEnd,Ball,0.007,283.mat
12000,2,1750,FanEnd,Ball,0.007,284.mat
12000,3,1730,FanEnd,Ball,0.007,285.mat
12000,0,1797,FanEnd,InnerRace,0.007,278.mat
12000,1,1772,FanEnd,InnerRace,0.007,279.mat
12000,2,1750,FanEnd,InnerRace,0.007,280.mat
12000,3,1730,FanEnd,InnerRace,0.007,281.mat
12000,0,1797,FanEnd,OuterRace12,0.007,302.mat
12000,1,1772,FanEnd,OuterRace12,0.007,305.mat
12000,2,1750,FanEnd,OuterRace12,0.007,306.mat
12000,3,1730,FanEnd,OuterRace12,0.007,307.mat
12000,0,1797,FanEnd,OuterRace3,0.007,298.mat
12000,1,1772,FanEnd,OuterRace3,0.007,299.mat
12000,2,1750,FanEnd,OuterRace3,0.007,300.mat
12000,3,1730,FanEnd,OuterRace3,0.007,301.mat
12000,0,1797,FanEnd,OuterRace6,0.007,294.mat
12000,1,1772,FanEnd,OuterRace6,0.007,295.mat
12000,2,1750,FanEnd,OuterRace6,0.007,296.mat
12000,3,1730,FanEnd,OuterRace6,0.007,297.mat
12000,0,1797,FanEnd,Ball,0.014,286.mat
12000,1,1772,FanEnd,Ball,0.014,287.mat
12000,2,1750,FanEnd,Ball,0.014,288.mat
12000,3,1730,FanEnd,Ball,0.014,289.mat
12000,0,1797,FanEnd,InnerRace,0.014,274.mat
12000,1,1772,FanEnd,InnerRace,0.014,275.mat
12000,2,1750,FanEnd,InnerRace,0.014,276.mat
12000,3,1730,FanEnd,InnerRace,0.014,277.mat
12000,1,1772,FanEnd,OuterRace3,0.014,309.mat
12000,0,1797,FanEnd,OuterRace3,0.014,310.mat
12000,2,1750,FanEnd,OuterRace3,0.014,311.mat
12000,3,1730,FanEnd,OuterRace3,0.014,312.mat
12000,0,1797,FanEnd,OuterRace6,0.014,313.mat
12000,0,1797,FanEnd,Ball,0.021,290.mat
12000,1,1772,FanEnd,Ball,0.021,291.mat
12000,2,1750,FanEnd,Ball,0.021,292.mat
12000,3,1730,FanEnd,Ball,0.021,293.mat
12000,0,1797,FanEnd,InnerRace,0.021,270.mat
12000,1,1772,FanEnd,InnerRace,0.021,271.mat
12000,2,1750,FanEnd,InnerRace,0.021,272.mat
12000,3,1730,FanEnd,InnerRace,0.021,273.mat
12000,1,1772,FanEnd,OuterRace3,0.021,316.mat
12000,2,1750,FanEnd,OuterRace3,0.021,317.mat
12000,3,1730,FanEnd,OuterRace3,0.021,318.mat
12000,0,1797,FanEnd,OuterRace6,0.021,315.mat
48000,0,1797,DriveEnd,Ball,0.007,122.mat
48000,1,1772,DriveEnd,Ball,0.007,123.mat
48000,2,1750,DriveEnd,Ball,0.007,124.mat
48000,3,1730,DriveEnd,Ball,0.007,125.mat
48000,0,1797,DriveEnd,InnerRace,0.007,109.mat
48000,1,1772,DriveEnd,InnerRace,0.007,110.mat
48000,2,1750,DriveEnd,InnerRace,0.007,111.mat
48000,3,1730,DriveEnd,InnerRace,0.007,112.mat
48000,0,1797,DriveEnd,OuterRace12,0.007,161.mat
48000,1,1772,DriveEnd,OuterRace12,0.007,162.mat
48000,2,1750,DriveEnd,OuterRace12,0.007,163.mat
48000,3,1730,DriveEnd,OuterRace12,0.007,164.mat
48000,0,1797,DriveEnd,OuterRace3,0.007,148.mat
48000,1,1772,DriveEnd,OuterRace3,0.007,149.mat
48000,2,1750,DriveEnd,OuterRace3,0.007,150.mat
48000,3,1730,DriveEnd,OuterRace3,0.007,151.mat
48000,0,1797,DriveEnd,OuterRace6,0.007,135.mat
48000,1,1772,DriveEnd,OuterRace6,0.007,136.mat
48000,2,1750,DriveEnd,OuterRace6,0.007,137.mat
48000,3,1730,DriveEnd,OuterRace6,0.007,138.mat
48000,0,1797,DriveEnd,Ball,0.014,189.mat
48000,1,1772,DriveEnd,Ball,0.014,190.mat
48000,2,1750,DriveEnd,Ball,0.014,191.mat
48000,3,1730,DriveEnd,Ball,0.014,192.mat
48000,0,1797,DriveEnd,InnerRace,0.014,174.mat
48000,1,1772,DriveEnd,InnerRace,0.014,175.mat
48000,2,1750,DriveEnd,InnerRace,0.014,176.mat
48000,3,1730,DriveEnd,InnerRace,0.014,177.mat
48000,0,1797,DriveEnd,OuterRace6,0.014,201.mat
48000,1,1772,DriveEnd,OuterRace6,0.014,202.mat
48000,2,1750,DriveEnd,OuterRace6,0.014,203.mat
48000,3,1730,DriveEnd,OuterRace6,0.014,204.mat
48000,0,1797,DriveEnd,Ball,0.021,226.mat
48000,1,1772,DriveEnd,Ball,0.021,227.mat
48000,2,1750,DriveEnd,Ball,0.021,228.mat
48000,3,1730,DriveEnd,Ball,0.021,229.mat
48000,0,1797,DriveEnd,InnerRace,0.021,213.mat
48000,1,1772,DriveEnd,InnerRace,0.021,214.mat
48000,2,1750,DriveEnd,InnerRace,0.021,215.mat
48000,3,1730,DriveEnd,InnerRace,0.021,217.mat
48000,0,1797,DriveEnd,OuterRace12,0.021,262.mat
48000,1,1772,DriveEnd,OuterRace12,0.021,263.mat
48000,2,1750,DriveEnd,OuterRace12,0.021,264.mat
48000,3,1730,DriveEnd,OuterRace12,0.021,265.mat
48000,0,1797,DriveEnd,OuterRace3,0.021,250.mat
48000,1,1772,DriveEnd,OuterRace3,0.021,251.mat
48000,2,1750,DriveEnd,OuterRace3,0.021,252.mat
48000,3,1730,DriveEnd,OuterRace3,0.021,253.mat
48000,0,1797,DriveEnd,OuterRace6,0.021,238.mat
48000,1,1772,DriveEnd,OuterRace6,0.021,239.mat
48000,2,1750,DriveEnd,OuterRace6,0.021,240.mat
48000,3,1730,DriveEnd,OuterRace6,0.021,241.mat
12000,0,1797,None,None,0,97.mat
12000,1,1772,None,None,0,98.mat
12000,2,1750,None,None,0,99.mat
12000,3,1730,None,None,0,100.mat
